Protocol,Time,Source IP,Desination IP,Source Port,Destination Port,Time to Live,Length,Fragments,Flags
17,1429800978,2886753021,134743044,45670,53,62,55,0,
17,1429800978,2886753021,134743044,51514,53,62,71,0,
17,1429800978,2886753021,134743044,43011,53,62,55,0,
17,1429800978,2886753021,134743044,60422,53,62,71,0,
17,1429800985,2886753021,134743044,58360,53,62,71,0,
17,1429800985,2886753021,134743044,45199,53,62,73,0,
17,1429800985,2886753021,134743044,54116,53,62,73,0,
17,1429800985,2886753021,134743044,43047,53,62,73,0,
17,1429800985,2886753021,134743044,35599,53,62,73,0,
17,1429800985,2886753021,134743044,51493,53,62,73,0,
17,1429800985,2886753021,134743044,57772,53,62,73,0,
17,1429800985,2886753021,134743044,40967,53,62,71,0,
17,1429800985,2886753021,134743044,37234,53,62,73,0,
17,1429800985,2886753021,134743044,39962,53,62,66,0,
17,1429800985,2886753021,134743044,36839,53,62,74,0,
17,1429800985,2886753021,134743044,45921,53,62,70,0,
17,1429800985,2886753021,134743044,41527,53,62,70,0,
17,1429800985,2886753021,134743044,52721,53,62,73,0,
17,1429800985,2886753021,134743044,36169,53,62,71,0,
17,1429800985,2886753021,134743044,60788,53,62,73,0,
17,1429800985,2886753021,134743044,44410,53,62,72,0,
17,1429800985,2886753021,134743044,44967,53,62,73,0,
17,1429800985,2886753021,134743044,38389,53,62,71,0,
17,1429800985,2886753021,134743044,35232,53,62,73,0,
17,1429800985,2886753021,134743044,54271,53,62,70,0,
17,1429800985,2886753021,134743044,37837,53,62,73,0,
17,1429800988,2886753021,134743044,40844,53,62,55,0,
17,1429800988,2886753021,134743044,34964,53,62,71,0,
17,1429801108,2886753021,134743044,60842,53,62,72,0,
17,1429801118,2886753021,134743044,34409,53,62,72,0,
17,1429801126,2886753021,134743044,46256,53,62,55,0,
17,1429801126,2886753021,134743044,44311,53,62,71,0,
17,1429801129,2886753021,134743044,36204,53,62,72,0,
17,1429801135,2886753021,134743044,49924,53,62,72,0,
17,1429801146,2886753021,134743044,45854,53,62,72,0,
17,1429801158,2886753021,134743044,60747,53,62,72,0,
17,1429801170,2886753021,134743044,60704,53,62,72,0,
17,1429801186,2886753021,134743044,47690,53,62,72,0,
17,1429801198,2886753021,134743044,48247,53,62,72,0,
17,1429801215,2886753021,134743044,49260,53,62,72,0,
17,1429801229,2886753021,134743044,54299,53,62,72,0,
17,1429801243,2886753021,134743044,45973,53,62,72,0,
17,1429801254,2886753021,134743044,47784,53,62,72,0,
17,1429801265,2886753021,134743044,52592,53,62,72,0,
17,1429801282,2886753021,134743044,58101,53,62,72,0,
17,1429801293,2886753021,134743044,53697,53,62,55,0,
17,1429801293,2886753021,134743044,58166,53,62,71,0,
17,1429801295,2886753021,134743044,57888,53,62,72,0,
17,1429801305,2886753021,134743044,43939,53,62,72,0,
17,1429801315,2886753021,134743044,50346,53,62,72,0,
17,1429801317,2886753021,134743044,35169,53,62,72,0,
17,1429801317,2886753021,134743044,32851,53,62,55,0,
17,1429801317,2886753021,134743044,43669,53,62,71,0,
17,1429801326,2886753021,134743044,57838,53,62,72,0,
17,1429801339,2886753021,134743044,54853,53,62,72,0,
17,1429801350,2886753021,134743044,46112,53,62,72,0,
17,1429801361,2886753021,134743044,36166,53,62,72,0,
17,1429801375,2886753021,134743044,55237,53,62,72,0,
17,1429801387,2886753021,134743044,38713,53,62,72,0,
17,1429801397,2886753021,134743044,55566,53,62,72,0,
17,1429801411,2886753021,134743044,36778,53,62,72,0,
17,1429801424,2886753021,134743044,43630,53,62,72,0,
17,1429801436,2886753021,134743044,37467,53,62,72,0,
17,1429801448,2886753021,134743044,60658,53,62,72,0,
17,1429801457,2886753021,134743044,40300,53,62,72,0,
17,1429801465,2886753021,134743044,58585,53,62,72,0,
17,1429801476,2886753021,134743044,45622,53,62,72,0,
17,1429801488,2886753021,134743044,48506,53,62,72,0,
17,1429801498,2886753021,134743044,54331,53,62,72,0,
17,1429801511,2886753021,134743044,33582,53,62,72,0,
17,1429801523,2886753021,134743044,38937,53,62,72,0,
17,1429801538,2886753021,134743044,50496,53,62,72,0,
17,1429801553,2886753021,134743044,51064,53,62,72,0,
17,1429801565,2886753021,134743044,58887,53,62,72,0,
17,1429801573,2886753021,134743044,55577,53,62,72,0,
17,1429801582,2886753021,134743044,46148,53,62,72,0,
17,1429801593,2886753021,134743044,33741,53,62,72,0,
17,1429801604,2886753021,134743044,49956,53,62,72,0,
17,1429801616,2886753021,134743044,50986,53,62,72,0,
17,1429801627,2886753021,134743044,59555,53,62,72,0,
17,1429801643,2886753021,134743044,36611,53,62,72,0,
17,1429801657,2886753021,134743044,46530,53,62,72,0,
17,1429801669,2886753021,134743044,40815,53,62,72,0,
17,1429801678,2886753021,134743044,53094,53,62,72,0,
17,1429801688,2886753021,134743044,49442,53,62,72,0,
17,1429801699,2886753021,134743044,38367,53,62,72,0,
17,1429801711,2886753021,134743044,52092,53,62,72,0,
17,1429801727,2886753021,134743044,37655,53,62,72,0,
17,1429801739,2886753021,134743044,53807,53,62,72,0,
17,1429801755,2886753021,134743044,56695,53,62,72,0,
17,1429801768,2886753021,134743044,48375,53,62,72,0,
17,1429801778,2886753021,134743044,51781,53,62,72,0,
17,1429801789,2886753021,134743044,39197,53,62,72,0,
17,1429801801,2886753021,134743044,47503,53,62,72,0,
17,1429801818,2886753021,134743044,46597,53,62,72,0,
17,1429801832,2886753021,134743044,59255,53,62,72,0,
6,1429800742,2886753021,173693690,443,58504,62,60,0,18
6,1429800743,2886753021,173693690,22,57466,62,60,0,18
6,1429800744,2886753021,173693690,443,38168,62,60,0,18
6,1429800747,2886753021,173693690,443,38433,62,60,0,18
6,1429800748,2886753021,173693690,443,38533,62,60,0,18
6,1429800749,2886753021,173693690,443,38936,62,60,0,18
6,1429800750,2886753021,173693690,443,39627,62,60,0,18
6,1429800751,2886753021,173693690,443,40640,62,60,0,18
6,1429800753,2886753021,173693690,443,41945,62,60,0,18
6,1429800754,2886753021,173693690,443,43013,62,60,0,18
6,1429800755,2886753021,173693690,443,44846,62,60,0,18
6,1429800756,2886753021,173693690,514,55377,62,44,0,18
6,1429800757,2886753021,173693690,443,47487,62,60,0,18
6,1429800758,2886753021,173693690,444,43068,62,60,0,18
6,1429800759,2886753021,173693690,443,50096,62,60,0,18
6,1429800760,2886753021,173693690,443,51314,62,60,0,18
6,1429800841,2886753021,173693690,443,54964,62,60,0,18
6,1429800841,2886753021,173693690,22,53624,62,60,0,18
6,1429800842,2886753021,173693690,443,34086,62,60,0,18
6,1429800844,2886753021,173693690,443,34282,62,60,0,18
6,1429800845,2886753021,173693690,443,34404,62,60,0,18
6,1429800846,2886753021,173693690,443,34424,62,60,0,18
6,1429800847,2886753021,173693690,443,34897,62,60,0,18
6,1429800848,2886753021,173693690,443,35663,62,60,0,18
6,1429800849,2886753021,173693690,514,46582,62,44,0,18
6,1429800850,2886753021,173693690,443,37846,62,60,0,18
6,1429800852,2886753021,173693690,443,39448,62,60,0,18
6,1429800852,2886753021,173693690,444,33434,62,60,0,18
6,1429800853,2886753021,173693690,443,41144,62,60,0,18
