dst,dst_ip,num_ports,num_connections,num_syn,num_rst
168430330,10.10.10.250,28436,362178,4903,337269
169088250,10.20.20.250,29001,160667,2980,147879
173035770,10.80.80.250,29003,167012,6333,144780
170404090,10.40.40.250,28165,155426,2077,143920
171719930,10.60.60.250,28922,155655,3542,142241
173693690,10.90.90.250,28075,152460,1953,141583
174351610,10.100.100.250,28051,152635,1847,141493
172377850,10.70.70.250,28977,152426,3011,141109
171062010,10.50.50.250,28136,148543,1927,137952
169746170,10.30.30.250,24634,63952,970,57152
3232250643,192.168.59.19,12935,67759,15657,26035
175753232,10.121.200.16,755,433528,1147,25903
3232250725,192.168.59.101,2414,35764,1674,21504
3232295244,192.168.233.76,21337,58630,8858,19947
176446760,10.132.93.40,13542,33248,9307,19275
3232238948,192.168.13.100,1888,29054,1648,16059
177078297,10.142.0.25,4587,80060,4807,13129
3232295247,192.168.233.79,8574,26554,2122,12539
178957175,10.170.171.119,13428,143427,18154,11041
178916423,10.170.12.71,10010,62949,688,9553
3232298067,192.168.244.83,18107,405473,27286,8352
182245019,10.220.214.155,17987,455507,27399,7508
169088111,10.20.20.111,1002,26267,6554,4403
173035530,10.80.80.10,5097,50577,14459,4055
178282861,10.160.97.109,478,21503,603,2612
175753254,10.121.200.38,2142,14876,1923,2490
3232295437,192.168.234.13,2317,6073,176,2027
3232236036,192.168.2.4,1830,292665,1517,1999
178290440,10.160.127.8,2076,163387,1038,1989
175636680,10.120.0.200,1517,2060336,5077,1687
2886732492,172.16.10.204,1078,65458,53702,1624
3232236810,192.168.5.10,1664,17121,356,1420
175753249,10.121.200.33,209,2690,98,1332
2886745292,172.16.60.204,1007,35239,26213,1311
3232237826,192.168.9.2,177,4270,198,1303
2886747852,172.16.70.204,1009,33749,25260,1301
2886735052,172.16.20.204,1007,33571,26751,1263
2886752972,172.16.90.204,1008,32868,24118,1257
2886742732,172.16.50.204,1007,31708,24175,1250
2886750412,172.16.80.204,1009,32461,24816,1221
2886740172,172.16.40.204,1007,31701,24126,1201
2886737612,172.16.30.204,1014,20295,12509,1127
2886732541,172.16.10.253,1389,104918,98779,1104
2886732499,172.16.10.211,1350,58001,52186,1067
173035535,10.80.80.15,4991,21999,10537,1007
178264676,10.160.26.100,482,30742,323,990
2886745299,172.16.60.211,1064,27920,25138,968
2886752979,172.16.90.211,1189,28035,23648,958
2886755532,172.16.100.204,1078,9975,3247,951
2886735059,172.16.20.211,1153,30304,26445,926
2886742739,172.16.50.211,1164,27863,23867,921
2886740179,172.16.40.211,1153,27675,23811,921
2886750419,172.16.80.211,1160,28190,24308,920
2886732490,172.16.10.202,1082,52491,50253,906
2886737619,172.16.30.211,1154,15794,11976,900
2886747859,172.16.70.211,1175,28901,24520,892
175753255,10.121.200.39,964,11415,719,784
175636511,10.120.0.31,802,7424,3546,778
172377615,10.70.70.15,1013,6225,2535,721
2886755539,172.16.100.211,1065,5774,2423,668
2886732498,172.16.10.210,1077,52288,49302,650
2886732493,172.16.10.205,1074,51694,50299,637
173035725,10.80.80.205,1056,39185,6275,523
3232245768,192.168.40.8,900,21166,719,497
2886745290,172.16.60.202,1006,24881,23309,489
2886747850,172.16.70.202,1020,25342,22544,464
2886752970,172.16.90.202,1006,22489,21070,456
175753235,10.121.200.19,15160,213201,16608,454
2886745341,172.16.60.253,1099,56597,49300,452
2886735101,172.16.20.253,1178,53473,50609,447
2886747901,172.16.70.253,1221,48239,44702,438
2886735050,172.16.20.202,1008,25072,23887,437
2886753021,172.16.90.253,1216,47399,44034,428
2886747858,172.16.70.210,1006,24578,22208,419
2886740221,172.16.40.253,1188,47718,44768,414
2886750461,172.16.80.253,1200,47720,44694,397
2886740170,172.16.40.202,1007,22303,21188,393
2886742781,172.16.50.253,1186,48155,45276,388
2886750410,172.16.80.202,1005,22759,21660,385
2886745298,172.16.60.210,1003,37233,25852,359
2886752978,172.16.90.210,1008,22922,21070,358
2886735058,172.16.20.210,1003,25626,23903,346
2886745293,172.16.60.205,1006,24218,22920,337
2886742738,172.16.50.210,1002,23034,21363,332
2886747853,172.16.70.205,1008,23670,22152,331
2886742730,172.16.50.202,1003,22000,17266,330
2886750418,172.16.80.210,1003,23374,21741,319
2886740178,172.16.40.210,1003,22875,21215,316
2886752973,172.16.90.205,1006,22161,21094,308
