dst,dst_ip,num_ports,num_connections,num_sources,num_icmp,num_tcp,num_udp
31582746,1.225.234.26,1,25,1,0,25,0
34613440,2.16.40.192,1,3,3,0,0,3
34636352,2.16.130.64,1,3,3,0,0,3
35055168,2.22.230.64,1,3,3,0,0,3
35055169,2.22.230.65,1,3,2,0,0,3
35055234,2.22.230.130,1,7,7,0,0,7
35055297,2.22.230.193,1,1,1,0,0,1
35055298,2.22.230.194,1,1,1,0,0,1
35638580,2.31.205.52,1,1,1,0,0,1
40293614,2.102.212.238,1,1,1,0,0,1
67372036,4.4.4.4,1,24,2,0,0,24
68628123,4.23.46.155,1,18,9,0,0,18
68829904,4.26.66.208,1,72,1,0,72,0
68829936,4.26.66.240,1,8,1,0,8,0
68870939,4.26.227.27,1,7,2,0,0,7
68882587,4.27.16.155,1,7,2,0,0,7
70623307,4.53.160.75,1,4,2,0,0,4
71007659,4.59.125.171,1,12,1,0,12,0
84870640,5.15.5.240,1,1,1,0,0,1
86850391,5.45.59.87,1,3,1,0,3,0
86851134,5.45.62.62,1,2,1,0,2,0
86851135,5.45.62.63,1,1,1,0,1,0
86851136,5.45.62.64,1,1,1,0,1,0
86851137,5.45.62.65,1,1,1,0,1,0
90805465,5.105.148.217,1,1,1,0,0,1
94774470,5.166.36.198,1,1,1,0,0,1
94832844,5.167.8.204,1,1,1,0,0,1
134743044,8.8.4.4,6,4186,27,5,0,4181
134744072,8.8.8.8,19,16813,126,35,5,16773
134787694,8.8.178.110,1,23,1,0,23,0
135259427,8.15.229.35,1,10,1,0,10,0
135259428,8.15.229.36,2,26,1,0,26,0
135259437,8.15.229.45,1,14,1,0,14,0
135259438,8.15.229.46,1,24,1,0,24,0
135972123,8.26.197.27,1,12,2,0,0,12
135973913,8.26.204.25,1,24,9,0,0,24
135976731,8.26.215.27,1,36,9,0,0,36
136606084,8.36.113.132,1,103,10,0,103,0
136607970,8.36.120.226,1,90,9,0,90,0
136783125,8.39.37.21,1,20,1,0,20,0
136783127,8.39.37.23,1,80,1,0,80,0
136783135,8.39.37.31,1,12,1,0,12,0
136783136,8.39.37.32,1,8,1,0,8,0
136783139,8.39.37.35,1,13,1,0,13,0
136783145,8.39.37.41,1,23,1,0,23,0
136933605,8.41.112.229,1,20,1,0,20,0
167772190,10.0.0.30,1,19,1,0,19,0
167863331,10.1.100.35,1,11,1,0,11,0
168253957,10.7.90.5,1,93,1,0,35,58
168427530,10.10.0.10,5,129,1,93,28,8
168430080,10.10.10.0,5,27,4,8,19,0
168430081,10.10.10.1,1074,50858,9,14,50843,1
168430082,10.10.10.2,100,275,7,29,246,0
168430083,10.10.10.3,100,278,7,32,246,0
168430084,10.10.10.4,100,278,7,32,246,0
168430085,10.10.10.5,968,2260,240,22,1064,1174
168430086,10.10.10.6,100,278,7,32,246,0
168430087,10.10.10.7,100,277,7,32,245,0
168430088,10.10.10.8,100,277,7,32,245,0
168430089,10.10.10.9,100,276,7,32,244,0
168430090,10.10.10.10,1107,23983,47,44,23809,130
168430091,10.10.10.11,100,276,7,32,244,0
168430092,10.10.10.12,99,273,7,31,242,0
168430093,10.10.10.13,99,268,7,28,240,0
168430094,10.10.10.14,99,268,7,28,240,0
168430095,10.10.10.15,1061,4294,39,23,4265,6
168430096,10.10.10.16,100,276,7,32,244,0
168430097,10.10.10.17,99,271,7,30,241,0
168430098,10.10.10.18,99,271,7,30,241,0
168430099,10.10.10.19,99,276,7,32,244,0
168430100,10.10.10.20,317,44874,33,25,41588,3261
168430101,10.10.10.21,98,270,7,30,240,0
168430102,10.10.10.22,98,270,7,30,240,0
168430103,10.10.10.23,98,274,7,32,242,0
168430104,10.10.10.24,98,275,7,32,243,0
168430105,10.10.10.25,99,386,8,99,287,0
168430106,10.10.10.26,99,273,7,30,243,0
168430107,10.10.10.27,97,273,7,32,241,0
168430108,10.10.10.28,97,273,7,32,241,0
168430109,10.10.10.29,97,272,7,32,240,0
168430110,10.10.10.30,99,277,7,32,245,0
168430111,10.10.10.31,99,275,7,30,245,0
168430112,10.10.10.32,97,270,7,30,240,0
168430113,10.10.10.33,97,273,7,32,241,0
168430114,10.10.10.34,98,275,7,32,243,0
168430115,10.10.10.35,100,279,7,32,247,0
168430116,10.10.10.36,99,277,7,32,245,0
168430117,10.10.10.37,99,276,7,32,244,0
168430118,10.10.10.38,99,274,7,30,244,0
168430119,10.10.10.39,98,270,7,30,240,0
168430120,10.10.10.40,99,275,7,30,245,0
168430121,10.10.10.41,99,274,7,30,244,0
168430122,10.10.10.42,99,276,7,32,244,0
168430123,10.10.10.43,99,276,7,32,244,0
168430124,10.10.10.44,99,276,7,32,244,0
168430125,10.10.10.45,99,277,7,32,245,0
168430126,10.10.10.46,99,276,7,32,244,0
168430127,10.10.10.47,99,277,7,32,245,0
168430128,10.10.10.48,99,277,7,32,245,0
168430129,10.10.10.49,100,279,7,32,247,0
168430130,10.10.10.50,100,279,7,32,247,0
168430131,10.10.10.51,100,278,7,32,246,0
168430132,10.10.10.52,100,279,7,32,247,0
168430133,10.10.10.53,100,279,7,32,247,0
168430134,10.10.10.54,100,279,7,32,247,0
168430135,10.10.10.55,100,279,7,32,247,0
168430136,10.10.10.56,100,279,7,32,247,0
168430137,10.10.10.57,100,277,7,30,247,0
168430138,10.10.10.58,100,277,7,30,247,0
168430139,10.10.10.59,100,277,7,30,247,0
168430140,10.10.10.60,100,275,7,30,245,0
168430141,10.10.10.61,100,279,7,32,247,0
168430142,10.10.10.62,100,279,7,32,247,0
168430143,10.10.10.63,100,277,7,30,247,0
168430144,10.10.10.64,100,275,7,30,245,0
168430145,10.10.10.65,100,277,7,30,247,0
168430146,10.10.10.66,100,273,7,27,246,0
168430147,10.10.10.67,100,271,7,27,244,0
168430148,10.10.10.68,100,272,7,28,244,0
168430149,10.10.10.69,99,271,7,28,243,0
168430150,10.10.10.70,99,269,7,28,241,0
168430151,10.10.10.71,99,271,7,28,243,0
168430152,10.10.10.72,99,272,7,30,242,0
168430153,10.10.10.73,99,272,7,30,242,0
168430154,10.10.10.74,99,269,7,28,241,0
168430155,10.10.10.75,99,269,7,28,241,0
168430156,10.10.10.76,99,273,7,32,241,0
168430157,10.10.10.77,99,273,7,30,243,0
168430158,10.10.10.78,99,273,7,29,244,0
168430159,10.10.10.79,99,270,7,28,242,0
168430160,10.10.10.80,99,272,7,28,244,0
168430161,10.10.10.81,99,276,7,32,244,0
168430162,10.10.10.82,100,274,7,30,244,0
168430163,10.10.10.83,100,275,7,30,245,0
168430164,10.10.10.84,99,272,7,30,242,0
168430165,10.10.10.85,100,274,7,30,244,0
168430166,10.10.10.86,100,274,7,30,244,0
168430167,10.10.10.87,100,275,7,30,245,0
168430168,10.10.10.88,100,271,7,29,242,0
168430169,10.10.10.89,100,273,7,30,243,0
168430170,10.10.10.90,100,272,7,30,242,0
168430171,10.10.10.91,100,272,7,30,242,0
168430172,10.10.10.92,100,270,7,28,242,0
168430173,10.10.10.93,100,270,7,28,242,0
168430174,10.10.10.94,100,273,7,28,245,0
168430175,10.10.10.95,100,271,7,28,243,0
168430176,10.10.10.96,100,272,7,30,242,0
168430177,10.10.10.97,100,272,7,30,242,0
168430178,10.10.10.98,100,272,7,30,242,0
168430179,10.10.10.99,100,273,7,30,243,0
168430180,10.10.10.100,100,272,7,30,242,0
168430181,10.10.10.101,100,274,7,30,244,0
168430182,10.10.10.102,100,277,7,32,245,0
168430183,10.10.10.103,313,1903593,12,74,1903453,66
168430184,10.10.10.104,100,274,7,28,246,0
168430185,10.10.10.105,100,235,7,14,221,0
168430186,10.10.10.106,107,3151,9,31,3120,0
168430187,10.10.10.107,100,272,7,30,242,0
168430188,10.10.10.108,265,4626,8,8,4584,34
168430189,10.10.10.109,238,1437,9,14,1411,12
168430190,10.10.10.110,196,71721,12,62,71656,3
168430191,10.10.10.111,99,271,7,30,241,0
168430192,10.10.10.112,99,270,7,29,241,0
168430193,10.10.10.113,99,274,7,32,242,0
168430194,10.10.10.114,99,274,7,32,242,0
168430195,10.10.10.115,99,275,7,32,243,0
168430196,10.10.10.116,99,275,7,32,243,0
168430197,10.10.10.117,99,271,7,30,241,0
168430198,10.10.10.118,99,272,7,30,242,0
168430199,10.10.10.119,99,274,7,30,244,0
168430200,10.10.10.120,99,274,7,30,244,0
168430201,10.10.10.121,99,274,7,30,244,0
168430202,10.10.10.122,99,274,7,30,244,0
168430203,10.10.10.123,99,274,7,30,244,0
168430204,10.10.10.124,100,276,7,30,246,0
168430205,10.10.10.125,100,273,7,28,245,0
168430206,10.10.10.126,99,270,7,28,242,0
168430207,10.10.10.127,100,275,7,30,245,0
168430208,10.10.10.128,100,268,7,28,240,0
168430209,10.10.10.129,100,273,7,28,245,0
168430210,10.10.10.130,100,266,7,28,238,0
168430211,10.10.10.131,100,268,7,28,240,0
168430212,10.10.10.132,100,266,7,28,238,0
168430213,10.10.10.133,100,267,7,28,239,0
168430214,10.10.10.134,100,266,7,28,238,0
168430215,10.10.10.135,100,264,7,28,236,0
168430216,10.10.10.136,100,269,7,28,241,0
168430217,10.10.10.137,100,269,7,28,241,0
168430218,10.10.10.138,100,270,7,29,241,0
168430219,10.10.10.139,100,272,7,30,242,0
168430220,10.10.10.140,100,270,7,30,240,0
168430221,10.10.10.141,100,269,7,27,242,0
168430222,10.10.10.142,100,270,7,30,240,0
168430223,10.10.10.143,100,272,7,31,241,0
168430224,10.10.10.144,100,273,7,32,241,0
168430225,10.10.10.145,100,274,7,32,242,0
168430226,10.10.10.146,100,274,7,32,242,0
168430227,10.10.10.147,100,274,7,32,242,0
168430228,10.10.10.148,100,274,7,32,242,0
168430229,10.10.10.149,100,270,7,30,240,0
168430230,10.10.10.150,100,271,7,30,241,0
168430231,10.10.10.151,100,271,7,31,240,0
168430232,10.10.10.152,100,270,7,30,240,0
168430233,10.10.10.153,100,270,7,30,240,0
168430234,10.10.10.154,100,269,7,31,238,0
168430235,10.10.10.155,100,269,7,29,240,0
168430236,10.10.10.156,100,268,7,29,239,0
168430237,10.10.10.157,100,265,7,29,236,0
168430238,10.10.10.158,100,266,7,29,237,0
168430239,10.10.10.159,99,268,7,30,238,0
168430240,10.10.10.160,99,268,7,30,238,0
168430241,10.10.10.161,99,272,7,30,242,0
168430242,10.10.10.162,99,272,7,31,241,0
168430243,10.10.10.163,99,269,7,28,241,0
168430244,10.10.10.164,99,270,7,29,241,0
168430245,10.10.10.165,100,268,7,28,240,0
168430246,10.10.10.166,100,266,7,28,238,0
168430247,10.10.10.167,99,269,7,28,241,0
168430248,10.10.10.168,99,271,7,30,241,0
168430249,10.10.10.169,99,270,7,30,240,0
168430250,10.10.10.170,99,268,7,30,238,0
168430251,10.10.10.171,100,274,7,32,242,0
168430252,10.10.10.172,100,271,7,28,243,0
168430253,10.10.10.173,100,273,7,29,244,0
168430254,10.10.10.174,100,272,7,30,242,0
168430255,10.10.10.175,100,270,7,29,241,0
168430256,10.10.10.176,100,270,7,30,240,0
168430257,10.10.10.177,100,271,7,31,240,0
168430258,10.10.10.178,100,274,7,31,243,0
168430259,10.10.10.179,100,275,7,31,244,0
168430260,10.10.10.180,100,273,7,30,243,0
168430261,10.10.10.181,100,276,7,31,245,0
168430262,10.10.10.182,100,274,7,30,244,0
168430263,10.10.10.183,100,270,7,30,240,0
168430264,10.10.10.184,100,270,7,29,241,0
168430265,10.10.10.185,100,271,7,30,241,0
168430266,10.10.10.186,100,272,7,30,242,0
168430267,10.10.10.187,100,273,7,29,244,0
168430268,10.10.10.188,100,272,7,29,243,0
168430269,10.10.10.189,100,274,7,29,245,0
168430270,10.10.10.190,100,271,7,29,242,0
168430271,10.10.10.191,100,265,7,29,236,0
168430272,10.10.10.192,100,267,7,28,239,0
168430273,10.10.10.193,100,265,7,28,237,0
168430274,10.10.10.194,99,270,7,28,242,0
168430275,10.10.10.195,98,263,7,28,235,0
168430276,10.10.10.196,99,268,7,30,238,0
168430277,10.10.10.197,100,265,7,28,237,0
168430278,10.10.10.198,98,261,7,28,233,0
168430279,10.10.10.199,99,265,7,28,237,0
168430280,10.10.10.200,102,470,8,190,272,8
168430281,10.10.10.201,99,266,7,28,238,0
168430282,10.10.10.202,100,272,7,30,242,0
168430283,10.10.10.203,100,274,7,31,243,0
168430284,10.10.10.204,100,276,8,31,245,0
168430285,10.10.10.205,345,15513,39,27,9172,6314
168430286,10.10.10.206,98,272,7,31,241,0
168430287,10.10.10.207,100,274,7,30,244,0
168430288,10.10.10.208,99,274,7,30,244,0
168430289,10.10.10.209,99,271,7,30,241,0
168430290,10.10.10.210,98,271,7,30,241,0
168430291,10.10.10.211,98,271,7,30,241,0
168430292,10.10.10.212,99,270,7,30,240,0
168430293,10.10.10.213,99,271,7,30,241,0
168430294,10.10.10.214,99,268,7,30,238,0
168430295,10.10.10.215,99,282,7,30,252,0
168430296,10.10.10.216,100,270,7,30,240,0
168430297,10.10.10.217,99,268,7,30,238,0
168430298,10.10.10.218,98,264,7,28,236,0
168430299,10.10.10.219,98,261,7,28,233,0
168430300,10.10.10.220,99,268,7,28,240,0
168430301,10.10.10.221,100,271,7,30,241,0
168430302,10.10.10.222,99,266,7,28,238,0
168430303,10.10.10.223,100,271,7,28,243,0
168430304,10.10.10.224,100,272,7,30,242,0
168430305,10.10.10.225,99,266,7,30,236,0
168430306,10.10.10.226,99,267,7,30,237,0
168430307,10.10.10.227,100,275,7,30,245,0
168430308,10.10.10.228,100,274,7,30,244,0
168430309,10.10.10.229,98,270,7,28,242,0
168430310,10.10.10.230,99,272,7,30,242,0
168430311,10.10.10.231,99,271,7,30,241,0
168430312,10.10.10.232,98,268,7,28,240,0
168430313,10.10.10.233,98,266,7,28,238,0
168430314,10.10.10.234,98,270,7,28,242,0
168430315,10.10.10.235,98,269,7,28,241,0
168430316,10.10.10.236,98,266,7,28,238,0
168430317,10.10.10.237,100,265,7,28,237,0
168430318,10.10.10.238,99,267,7,28,239,0
168430319,10.10.10.239,98,267,7,28,239,0
168430320,10.10.10.240,99,271,7,28,243,0
168430321,10.10.10.241,98,267,7,28,239,0
168430322,10.10.10.242,98,260,7,28,232,0
168430323,10.10.10.243,99,266,7,28,238,0
168430324,10.10.10.244,99,265,7,28,237,0
168430325,10.10.10.245,97,263,7,28,235,0
168430326,10.10.10.246,97,260,7,28,232,0
168430327,10.10.10.247,99,267,7,29,238,0
168430328,10.10.10.248,98,269,7,30,239,0
168430329,10.10.10.249,98,267,7,30,237,0
168430330,10.10.10.250,28436,362178,18,11,362166,1
168430331,10.10.10.251,100,1889,8,8,1880,1
168430332,10.10.10.252,101,280,9,10,233,37
168430333,10.10.10.253,98,269,7,30,239,0
168430334,10.10.10.254,99,273,7,30,243,0
168430335,10.10.10.255,7,486,10,8,19,459
168442890,10.10.60.10,0,7,1,7,0,0
168442900,10.10.60.20,0,7,1,7,0,0
168450560,10.10.90.0,185,411,1,12,399,0
168450561,10.10.90.1,185,415,1,14,401,0
168450562,10.10.90.2,185,424,1,14,410,0
168450563,10.10.90.3,185,411,1,14,397,0
168450564,10.10.90.4,185,421,1,14,407,0
168450565,10.10.90.5,184,411,1,14,397,0
168450566,10.10.90.6,183,410,1,14,396,0
168450567,10.10.90.7,184,412,1,14,398,0
168450568,10.10.90.8,184,422,1,14,408,0
168450569,10.10.90.9,185,411,1,14,397,0
168450570,10.10.90.10,185,412,1,14,398,0
168450571,10.10.90.11,183,408,1,12,396,0
168450572,10.10.90.12,183,407,1,12,395,0
168450573,10.10.90.13,185,414,1,14,400,0
168450574,10.10.90.14,185,414,1,14,400,0
168450575,10.10.90.15,185,426,1,14,412,0
168450576,10.10.90.16,185,414,1,14,400,0
168450577,10.10.90.17,185,416,1,14,402,0
168450578,10.10.90.18,185,416,1,14,402,0
168450579,10.10.90.19,184,412,1,14,398,0
168450580,10.10.90.20,184,420,1,14,406,0
168450581,10.10.90.21,185,414,1,14,400,0
168450582,10.10.90.22,185,423,1,14,409,0
168450583,10.10.90.23,185,414,1,12,402,0
168450584,10.10.90.24,185,424,1,12,412,0
168450585,10.10.90.25,185,435,1,12,423,0
168450586,10.10.90.26,185,415,1,12,403,0
168450587,10.10.90.27,185,422,1,14,408,0
168450588,10.10.90.28,185,424,1,14,410,0
168450589,10.10.90.29,185,434,1,14,420,0
168450590,10.10.90.30,185,423,1,14,409,0
168450591,10.10.90.31,184,409,1,14,395,0
168450592,10.10.90.32,184,400,1,14,386,0
168450593,10.10.90.33,185,423,1,14,409,0
168450594,10.10.90.34,185,412,1,14,398,0
168450595,10.10.90.35,185,421,1,13,408,0
168450596,10.10.90.36,185,431,1,14,417,0
168450597,10.10.90.37,185,416,1,12,404,0
168450598,10.10.90.38,185,423,1,12,411,0
168450599,10.10.90.39,185,411,1,12,399,0
168450600,10.10.90.40,185,400,1,11,389,0
168450601,10.10.90.41,185,432,1,14,418,0
168450602,10.10.90.42,185,414,1,14,400,0
168450603,10.10.90.43,185,422,1,14,408,0
168450604,10.10.90.44,185,412,1,14,398,0
168450605,10.10.90.45,184,410,1,14,396,0
168450606,10.10.90.46,184,410,1,14,396,0
168450607,10.10.90.47,184,407,1,14,393,0
168450608,10.10.90.48,184,429,1,14,415,0
168450609,10.10.90.49,184,430,1,14,416,0
168450610,10.10.90.50,184,428,1,14,414,0
168450611,10.10.90.51,185,428,1,10,418,0
168450612,10.10.90.52,185,430,1,12,418,0
168450613,10.10.90.53,185,433,1,12,421,0
168450614,10.10.90.54,185,430,1,12,418,0
168450615,10.10.90.55,185,434,1,14,420,0
168450616,10.10.90.56,185,434,1,14,420,0
168450617,10.10.90.57,185,430,1,14,416,0
168450618,10.10.90.58,185,432,1,14,418,0
168450619,10.10.90.59,184,426,1,14,412,0
168450620,10.10.90.60,184,428,1,14,414,0
168450621,10.10.90.61,184,429,1,13,416,0
168450622,10.10.90.62,183,425,1,14,411,0
168450623,10.10.90.63,184,427,1,14,413,0
168450624,10.10.90.64,184,425,1,14,411,0
168450625,10.10.90.65,185,427,1,12,415,0
168450626,10.10.90.66,185,429,1,12,417,0
168450627,10.10.90.67,185,428,1,12,416,0
168450628,10.10.90.68,185,429,1,12,417,0
168450629,10.10.90.69,185,433,1,14,419,0
168450630,10.10.90.70,185,434,1,14,420,0
168450631,10.10.90.71,185,430,1,14,416,0
168450632,10.10.90.72,185,409,1,14,395,0
168450633,10.10.90.73,184,419,1,12,407,0
168450634,10.10.90.74,184,409,1,14,395,0
168450635,10.10.90.75,184,421,1,14,407,0
168450636,10.10.90.76,184,409,1,14,395,0
168450637,10.10.90.77,184,410,1,12,398,0
168450638,10.10.90.78,184,409,1,12,397,0
168450639,10.10.90.79,185,409,1,11,398,0
168450640,10.10.90.80,185,412,1,12,400,0
168450641,10.10.90.81,185,414,1,12,402,0
168450642,10.10.90.82,185,414,1,12,402,0
168450643,10.10.90.83,185,411,1,14,397,0
168450644,10.10.90.84,185,414,1,14,400,0
168450645,10.10.90.85,185,412,1,14,398,0
168450646,10.10.90.86,185,410,1,14,396,0
168450647,10.10.90.87,184,408,1,14,394,0
168450648,10.10.90.88,184,417,1,13,404,0
168450649,10.10.90.89,184,421,1,13,408,0
168450650,10.10.90.90,184,418,1,13,405,0
168450651,10.10.90.91,184,428,1,13,415,0
168450652,10.10.90.92,184,421,1,13,408,0
168450653,10.10.90.93,185,420,1,11,409,0
168450654,10.10.90.94,185,411,1,12,399,0
168450655,10.10.90.95,185,418,1,11,407,0
168450656,10.10.90.96,175,352,1,10,342,0
168450657,10.10.90.97,175,355,1,14,341,0
168450658,10.10.90.98,165,354,1,13,341,0
168450659,10.10.90.99,175,354,1,14,340,0
168450660,10.10.90.100,166,355,1,14,341,0
168450661,10.10.90.101,166,354,1,14,340,0
168450662,10.10.90.102,175,355,1,14,341,0
168450663,10.10.90.103,166,343,1,14,329,0
168450664,10.10.90.104,166,355,1,14,341,0
168450665,10.10.90.105,166,352,1,14,338,0
168450666,10.10.90.106,166,356,1,14,342,0
168450667,10.10.90.107,175,354,1,12,342,0
168450668,10.10.90.108,175,353,1,12,341,0
168450669,10.10.90.109,166,353,1,12,341,0
168450670,10.10.90.110,166,354,1,12,342,0
168450671,10.10.90.111,175,356,1,14,342,0
168450672,10.10.90.112,175,366,1,14,352,0
168450673,10.10.90.113,175,356,1,14,342,0
168450674,10.10.90.114,175,356,1,14,342,0
168450675,10.10.90.115,175,356,1,14,342,0
168450676,10.10.90.116,175,366,1,14,352,0
168450677,10.10.90.117,175,356,1,14,342,0
168450678,10.10.90.118,175,356,1,14,342,0
168450679,10.10.90.119,175,353,1,12,341,0
168450680,10.10.90.120,175,376,1,14,362,0
